username,tweetcreatedts,tweet,label_sentimen,tweet_cf,tweet_clean,tweet_clean_alay,tweet_token,tweet_stopword,tweet_normalisasi,tweet_stemming,tweet_bersih
JungHeeYaa,2021-10-25 07:51:49,"Alhamdulillah jalan 2 bulan ini udah mulai sekolah offline. Mulai dikasih sangu sama ortu. Jatah 5k sehari. Nabung Alhamdulillah jalan tapi bukan cuma untuk album SN. Mulai kekumpul byk, aku ambil buat beli jilbab dll. Sampe sekarang cuma kekumpul 150k.",1,alhamdulillah jalan bulan ini udah mulai sekolah offline mulai dikasih sangu sama ortu jatah k sehari nabung alhamdulillah jalan tapi bukan cuma untuk album sn mulai kekumpul byk aku ambil buat beli jilbab dll sampe sekarang cuma kekumpul k,alhamdulillah jalan bulan ini udah mulai sekolah offline mulai dikasih sangu sama ortu jatah k sehari nabung alhamdulillah jalan tapi bukan cuma untuk album sn mulai kekumpul byk aku ambil buat beli jilbab dll sampe sekarang cuma kekumpul k,alhamdulillah jalan bulan ini sudah mulai sekolah offline mulai dikasih sangu sama orang tua jatah k sehari menabung alhamdulillah jalan tapi bukan cuma untuk album sn mulai kekumpul banyak aku ambil buat beli jilbab dan lain lain sampai sekarang cuma kekumpul k,"['alhamdulillah', 'jalan', 'bulan', 'ini', 'sudah', 'mulai', 'sekolah', 'offline', 'mulai', 'dikasih', 'sangu', 'sama', 'orang', 'tua', 'jatah', 'k', 'sehari', 'menabung', 'alhamdulillah', 'jalan', 'tapi', 'bukan', 'cuma', 'untuk', 'album', 'sn', 'mulai', 'kekumpul', 'banyak', 'aku', 'ambil', 'buat', 'beli', 'jilbab', 'dan', 'lain', 'lain', 'sampai', 'sekarang', 'cuma', 'kekumpul', 'k']","['alhamdulillah', 'jalan', 'sekolah', 'offline', 'dikasih', 'sangu', 'orang', 'tua', 'jatah', 'k', 'sehari', 'menabung', 'alhamdulillah', 'jalan', 'album', 'sn', 'kekumpul', 'ambil', 'beli', 'jilbab', 'kekumpul', 'k']","['alhamdulillah', 'jalan', 'sekolah', 'offline', 'dikasih', 'sangu', 'orang', 'tua', 'jatah', 'ke', 'sehari', 'menabung', 'alhamdulillah', 'jalan', 'album', 'sn', 'kekumpul', 'ambil', 'beli', 'jilbab', 'kekumpul', 'ke']","['alhamdulillah', 'jalan', 'sekolah', 'offline', 'kasih', 'sangu', 'orang', 'tua', 'jatah', 'ke', 'hari', 'tabung', 'alhamdulillah', 'jalan', 'album', 'sn', 'kumpul', 'ambil', 'beli', 'jilbab', 'kumpul', 'ke']",alhamdulillah jalan sekolah offline kasih sangu orang tua jatah ke hari tabung alhamdulillah jalan album sn kumpul ambil beli jilbab kumpul ke
dlwobs_,2021-10-25 07:47:58,HARI JUMAT SEKOLAH OFFLINE https://t.co/323i0RuOD2,1,hari jumat sekolah offline,hari jumat sekolah offline,hari jumat sekolah offline,"['hari', 'jumat', 'sekolah', 'offline']","['jumat', 'sekolah', 'offline']","['jumat', 'sekolah', 'offline']","['jumat', 'sekolah', 'offline']",jumat sekolah offline
rchel_louis,2021-10-25 07:47:35,"i mean like
skip kelas 9 trus masuk sma + sekolah offline",1,i mean like skip kelas trus masuk sma sekolah offline,i mean like skip kelas trus masuk sma sekolah offline,i mean like skip kelas terus masuk sama sekolah offline,"['i', 'mean', 'like', 'skip', 'kelas', 'terus', 'masuk', 'sama', 'sekolah', 'offline']","['i', 'mean', 'like', 'skip', 'kelas', 'masuk', 'sekolah', 'offline']","['i', 'mean', 'like', 'skip', 'kelas', 'masuk', 'sekolah', 'offline']","['i', 'mean', 'like', 'skip', 'kelas', 'masuk', 'sekolah', 'offline']",i mean like skip kelas masuk sekolah offline
shineynoo,2021-10-25 07:45:35,"@04JYKEGF Baikk, cuma lagi sibuk aj ngurus sekolah INI UDAH MULAI OFFLINE N TUGAS SGT BEJIBUN😭",-1,baikk cuma lagi sibuk aj ngurus sekolah ini udah mulai offline n tugas sgt bejibun,baikk cuma lagi sibuk aj ngurus sekolah ini udah mulai offline n tugas sgt bejibun,baik cuma lagi sibuk saja mengurus sekolah ini sudah mulai offline dan tugas sangat bejibun,"['baik', 'cuma', 'lagi', 'sibuk', 'saja', 'mengurus', 'sekolah', 'ini', 'sudah', 'mulai', 'offline', 'dan', 'tugas', 'sangat', 'bejibun']","['sibuk', 'mengurus', 'sekolah', 'offline', 'tugas', 'bejibun']","['sibuk', 'mengurus', 'sekolah', 'offline', 'tugas', 'banyak']","['sibuk', 'urus', 'sekolah', 'offline', 'tugas', 'banyak']",sibuk urus sekolah offline tugas banyak
chalametberry,2021-10-25 07:45:33,Demi apapun pengen sekolah offline,1,demi apapun pengen sekolah offline,demi apapun pengen sekolah offline,demi apapun ingin sekolah offline,"['demi', 'apapun', 'ingin', 'sekolah', 'offline']","['apapun', 'sekolah', 'offline']","['apapun', 'sekolah', 'offline']","['apa', 'sekolah', 'offline']",apa sekolah offline
n4dippaa,2021-10-25 07:44:11,"udah sekolah offline, jadi susah buat on disini.. im sowrrryyyy",0,udah sekolah offline jadi susah buat on disini im sowrrryyyy,udah sekolah offline jadi susah buat on disini im sowrrryyyy,sudah sekolah offline jadi susah buat on di sini im sowrrryyyy,"['sudah', 'sekolah', 'offline', 'jadi', 'susah', 'buat', 'on', 'di', 'sini', 'im', 'sowrrryyyy']","['sekolah', 'offline', 'susah', 'on', 'im', 'sowrrryyyy']","['sekolah', 'offline', 'susah', 'on', 'im', 'sowrrryyyy']","['sekolah', 'offline', 'susah', 'on', 'im', 'sowrrryyyy']",sekolah offline susah on im sowrrryyyy
bananacityx,2021-10-25 07:43:51,@KN1308J heloo nai? tadi sekolah? daring atau udah masuk offline? btw jan lupa mam yaa 🥰,0,heloo nai tadi sekolah daring atau udah masuk offline btw jan lupa mam yaa,heloo nai tadi sekolah daring atau udah masuk offline btw jan lupa mam yaa,halo tai tadi sekolah daring atau sudah masuk offline by the way jangan lupa mam ya,"['halo', 'tai', 'tadi', 'sekolah', 'daring', 'atau', 'sudah', 'masuk', 'offline', 'by', 'the', 'way', 'jangan', 'lupa', 'mam', 'ya']","['halo', 'tai', 'sekolah', 'daring', 'masuk', 'offline', 'by', 'the', 'way', 'lupa', 'mam']","['halo', 'tai', 'sekolah', 'daring', 'masuk', 'offline', 'by', 'the', 'way', 'lupa', 'makan']","['halo', 'tai', 'sekolah', 'daring', 'masuk', 'offline', 'by', 'the', 'way', 'lupa', 'makan']",halo tai sekolah daring masuk offline by the way lupa makan
subschfess,2021-10-25 07:39:22,"SchApp! Di sini yang sudah sekolah offline, menurut kalian tugasnya tambah banyak atau nggk

✄・・・
🧐 Trivia: Ombrometer adalah alat pengukur curah hujan",0,schapp di sini yang sudah sekolah offline menurut kalian tugasnya tambah banyak atau nggk trivia ombrometer adalah alat pengukur curah hujan,schapp di sini yang sudah sekolah offline menurut kalian tugasnya tambah banyak atau nggk trivia ombrometer adalah alat pengukur curah hujan,schapp di sini yang sudah sekolah offline menurut kalian tugasnya tambah banyak atau tidak trivia ombrometer adalah alat pengukur curah hujan,"['schapp', 'di', 'sini', 'yang', 'sudah', 'sekolah', 'offline', 'menurut', 'kalian', 'tugasnya', 'tambah', 'banyak', 'atau', 'tidak', 'trivia', 'ombrometer', 'adalah', 'alat', 'pengukur', 'curah', 'hujan']","['schapp', 'sekolah', 'offline', 'tugasnya', 'trivia', 'ombrometer', 'alat', 'pengukur', 'curah', 'hujan']","['schapp', 'sekolah', 'offline', 'tugasnya', 'trivia', 'ombrometer', 'alat', 'pengukur', 'curah', 'hujan']","['schapp', 'sekolah', 'offline', 'tugas', 'trivia', 'ombrometer', 'alat', 'ukur', 'curah', 'hujan']",schapp sekolah offline tugas trivia ombrometer alat ukur curah hujan
watermlnsgr,2021-10-25 07:32:31,"@JapanMerchFess pas offline gini cuma dikasih ongkos pulang doang sih, krn kantin sekolah jg gak buka wkwk.",0,pas offline gini cuma dikasih ongkos pulang doang sih krn kantin sekolah jg gak buka wkwk,pas offline gini cuma dikasih ongkos pulang doang sih krn kantin sekolah jg gak buka wkwk,pas offline begini cuma dikasih ongkos pulang doang sih karena kantin sekolah juga tidak buka wkwk,"['pas', 'offline', 'begini', 'cuma', 'dikasih', 'ongkos', 'pulang', 'doang', 'sih', 'karena', 'kantin', 'sekolah', 'juga', 'tidak', 'buka', 'wkwk']","['pas', 'offline', 'dikasih', 'ongkos', 'pulang', 'doang', 'kantin', 'sekolah', 'buka', 'wkwk']","['pas', 'offline', 'dikasih', 'ongkos', 'pulang', 'doang', 'kantin', 'sekolah', 'buka', 'wkwk']","['pas', 'offline', 'kasih', 'ongkos', 'pulang', 'doang', 'kantin', 'sekolah', 'buka', 'wkwk']",pas offline kasih ongkos pulang doang kantin sekolah buka wkwk
zuunise_,2021-10-25 07:21:50,"@convomf cug, gaada rasa bersukurnya emg manusia. dulu dikasih libur 2 tahun, ngeluh pengen ngerasain hidup normal, sekolah offline. sekarang udh mulai hidup normal, sekolah mulai offline, eh malah minta di online kan lagi. emg",0,cug gaada rasa bersukurnya emg manusia dulu dikasih libur tahun ngeluh pengen ngerasain hidup normal sekolah offline sekarang udh mulai hidup normal sekolah mulai offline eh malah minta di online kan lagi emg,cug gaada rasa bersukurnya emg manusia dulu dikasih libur tahun ngeluh pengen ngerasain hidup normal sekolah offline sekarang udh mulai hidup normal sekolah mulai offline eh malah minta di online kan lagi emg,cug tidak ada rasa bersukurnya memang manusia dulu dikasih libur tahun mengeluh ingin merasakan hidup normal sekolah offline sekarang sudah mulai hidup normal sekolah mulai offline eh malah meminta di online kan lagi memang,"['cug', 'tidak', 'ada', 'rasa', 'bersukurnya', 'memang', 'manusia', 'dulu', 'dikasih', 'libur', 'tahun', 'mengeluh', 'ingin', 'merasakan', 'hidup', 'normal', 'sekolah', 'offline', 'sekarang', 'sudah', 'mulai', 'hidup', 'normal', 'sekolah', 'mulai', 'offline', 'eh', 'malah', 'meminta', 'di', 'online', 'kan', 'lagi', 'memang']","['cug', 'bersukurnya', 'manusia', 'dikasih', 'libur', 'mengeluh', 'merasakan', 'hidup', 'normal', 'sekolah', 'offline', 'hidup', 'normal', 'sekolah', 'offline', 'eh', 'online']","['cug', 'bersukurnya', 'manusia', 'dikasih', 'libur', 'mengeluh', 'merasakan', 'hidup', 'normal', 'sekolah', 'offline', 'hidup', 'normal', 'sekolah', 'offline', 'eh', 'daring']","['cug', 'bersukurnya', 'manusia', 'kasih', 'libur', 'keluh', 'rasa', 'hidup', 'normal', 'sekolah', 'offline', 'hidup', 'normal', 'sekolah', 'offline', 'eh', 'daring']",cug bersukurnya manusia kasih libur keluh rasa hidup normal sekolah offline hidup normal sekolah offline eh daring
yeahtyaelah,2021-10-25 07:16:21,@convomf Capek gak sekolah offline?,-1,capek gak sekolah offline,capek gak sekolah offline,cape tidak sekolah offline,"['cape', 'tidak', 'sekolah', 'offline']","['cape', 'sekolah', 'offline']","['capek', 'sekolah', 'offline']","['capek', 'sekolah', 'offline']",capek sekolah offline
cchyuckie,2021-10-25 07:14:33,@convomf sekolah online/offline?,0,sekolah onlineoffline,sekolah onlineoffline,sekolah onlineoffline,"['sekolah', 'onlineoffline']","['sekolah', 'onlineoffline']","['sekolah', 'onlineoffline']","['sekolah', 'onlineoffline']",sekolah onlineoffline
yeorirooo02,2021-10-25 07:08:16,"@collegemenfess Itu nder, pak Nadiem pusing masalah sekolah online salah sekolah offline salah, jadi beliau merasa pusing",0,itu nder pak nadiem pusing masalah sekolah online salah sekolah offline salah jadi beliau merasa pusing,itu nder pak nadiem pusing masalah sekolah online salah sekolah offline salah jadi beliau merasa pusing,itu nder pak nadiem pusing masalah sekolah online salah sekolah offline salah jadi beliau merasa pusing,"['itu', 'nder', 'pak', 'nadiem', 'pusing', 'masalah', 'sekolah', 'online', 'salah', 'sekolah', 'offline', 'salah', 'jadi', 'beliau', 'merasa', 'pusing']","['nder', 'nadiem', 'pusing', 'sekolah', 'online', 'salah', 'sekolah', 'offline', 'salah', 'beliau', 'pusing']","['nder', 'nadiem', 'pusing', 'sekolah', 'daring', 'salah', 'sekolah', 'offline', 'salah', 'beliau', 'pusing']","['nder', 'nadiem', 'pusing', 'sekolah', 'daring', 'salah', 'sekolah', 'offline', 'salah', 'beliau', 'pusing']",nder nadiem pusing sekolah daring salah sekolah offline salah beliau pusing
Frilzzz,2021-10-25 07:05:09,Pdhl sekolah offline cuma ampe jam 11 tp knp cape bgt ya😭,-1,pdhl sekolah offline cuma ampe jam tp knp cape bgt ya,pdhl sekolah offline cuma ampe jam tp knp cape bgt ya,padahal sekolah offline cuma sampai jam tetapi kenapa cape banget ya,"['padahal', 'sekolah', 'offline', 'cuma', 'sampai', 'jam', 'tetapi', 'kenapa', 'cape', 'banget', 'ya']","['sekolah', 'offline', 'jam', 'cape', 'banget']","['sekolah', 'offline', 'jam', 'capek', 'banget']","['sekolah', 'offline', 'jam', 'capek', 'banget']",sekolah offline jam capek banget
comfortcrawd,2021-10-25 06:36:46,"setidaknya seninku tidak terlalu buruk karena sekolah offline, makasi yh buat seisi x ipa 3 termasuk yang gk ngobrol sama sy dan cuma liat liatan🙏🏻",1,setidaknya seninku tidak terlalu buruk karena sekolah offline makasi yh buat seisi x ipa termasuk yang gk ngobrol sama sy dan cuma liat liatan,setidaknya seninku tidak terlalu buruk karena sekolah offline makasi yh buat seisi x ipa termasuk yang gk ngobrol sama sy dan cuma liat liatan,setidaknya seninku tidak terlalu buruk karena sekolah offline terima kasih ya buat seisi x ilmu pengetahuan alam termasuk yang tidak mengobrol sama saya dan cuma lihat liatan,"['setidaknya', 'seninku', 'tidak', 'terlalu', 'buruk', 'karena', 'sekolah', 'offline', 'terima', 'kasih', 'ya', 'buat', 'seisi', 'x', 'ilmu', 'pengetahuan', 'alam', 'termasuk', 'yang', 'tidak', 'mengobrol', 'sama', 'saya', 'dan', 'cuma', 'lihat', 'liatan']","['seninku', 'buruk', 'sekolah', 'offline', 'terima', 'kasih', 'seisi', 'x', 'ilmu', 'pengetahuan', 'alam', 'mengobrol', 'lihat', 'liatan']","['seninku', 'buruk', 'sekolah', 'offline', 'terima', 'kasih', 'seisi', 'x', 'ilmu', 'pengetahuan', 'alam', 'mengobrol', 'lihat', 'liatan']","['senin', 'buruk', 'sekolah', 'offline', 'terima', 'kasih', 'isi', 'x', 'ilmu', 'tahu', 'alam', 'obrol', 'lihat', 'liat']",senin buruk sekolah offline terima kasih isi x ilmu tahu alam obrol lihat liat
minsungcarts,2021-10-25 06:27:48,@jenowley gw mingdep offline tks gmn kalo jam sekolah trs gw di sela-sela belajar “bu izin ngangkat vc lia”,1,gw mingdep offline tks gmn kalo jam sekolah trs gw di selasela belajar bu izin ngangkat vc lia,gw mingdep offline tks gmn kalo jam sekolah trs gw di selasela belajar bu izin ngangkat vc lia,gue mingdep offline tks bagaimana kalau jam sekolah terus gue di selasela belajar bu izin mengangkat video call lia,"['gue', 'mingdep', 'offline', 'tks', 'bagaimana', 'kalau', 'jam', 'sekolah', 'terus', 'gue', 'di', 'selasela', 'belajar', 'bu', 'izin', 'mengangkat', 'video', 'call', 'lia']","['gue', 'mingdep', 'offline', 'tks', 'jam', 'sekolah', 'gue', 'selasela', 'belajar', 'bu', 'izin', 'mengangkat', 'video', 'call', 'lia']","['saya', 'mingdep', 'offline', 'terima kasih', 'jam', 'sekolah', 'saya', 'selasela', 'belajar', 'bu', 'izin', 'mengangkat', 'video', 'call', 'lia']","['saya', 'mingdep', 'offline', 'terima kasih', 'jam', 'sekolah', 'saya', 'selasela', 'ajar', 'bu', 'izin', 'angkat', 'video', 'call', 'lia']",saya mingdep offline terima kasih jam sekolah saya selasela ajar bu izin angkat video call lia
jaespeachs,2021-10-25 06:23:59,"dulu pengenn bgt sekolah offline, pas denger kabar bakal belajar offline yaa seneng dongg, tp skrg pas offline malah pgn online lg, soalnya suasana nya kok freak gt yh🙂🙂🙂",-1,dulu pengenn bgt sekolah offline pas denger kabar bakal belajar offline yaa seneng dongg tp skrg pas offline malah pgn online lg soalnya suasana nya kok freak gt yh,dulu pengenn bgt sekolah offline pas denger kabar bakal belajar offline yaa seneng dongg tp skrg pas offline malah pgn online lg soalnya suasana nya kok freak gt yh,dulu ingin banget sekolah offline pas dengar kabar bakal belajar offline ya senang dong tetapi sekarang pas offline malah ingin online lagi soalnya suasana nya kok freak begitu ya,"['dulu', 'ingin', 'banget', 'sekolah', 'offline', 'pas', 'dengar', 'kabar', 'bakal', 'belajar', 'offline', 'ya', 'senang', 'dong', 'tetapi', 'sekarang', 'pas', 'offline', 'malah', 'ingin', 'online', 'lagi', 'soalnya', 'suasana', 'nya', 'kok', 'freak', 'begitu', 'ya']","['banget', 'sekolah', 'offline', 'pas', 'dengar', 'kabar', 'belajar', 'offline', 'senang', 'pas', 'offline', 'online', 'suasana', 'freak']","['banget', 'sekolah', 'offline', 'pas', 'dengar', 'kabar', 'belajar', 'offline', 'senang', 'pas', 'offline', 'daring', 'suasana', 'freak']","['banget', 'sekolah', 'offline', 'pas', 'dengar', 'kabar', 'ajar', 'offline', 'senang', 'pas', 'offline', 'daring', 'suasana', 'freak']",banget sekolah offline pas dengar kabar ajar offline senang pas offline daring suasana freak
dicylight,2021-10-25 06:23:29,"@Fleaurde_bleau sekolah offline, hbu?",0,bleau sekolah offline hbu,bleau sekolah offline hbu,bleau sekolah offline hbu,"['bleau', 'sekolah', 'offline', 'hbu']","['bleau', 'sekolah', 'offline', 'hbu']","['bleau', 'sekolah', 'offline', 'hbu']","['bleau', 'sekolah', 'offline', 'hbu']",bleau sekolah offline hbu
shatoyuu,2021-10-25 06:21:59,"@JapanMerchFess iya diksih semenjak msuk sma, trus jg kan skrg udh sekolah offline",1,iya diksih semenjak msuk sma trus jg kan skrg udh sekolah offline,iya diksih semenjak msuk sma trus jg kan skrg udh sekolah offline,iya diksih semenjak masuk sama terus juga kan sekarang sudah sekolah offline,"['iya', 'diksih', 'semenjak', 'masuk', 'sama', 'terus', 'juga', 'kan', 'sekarang', 'sudah', 'sekolah', 'offline']","['iya', 'diksih', 'semenjak', 'masuk', 'sekolah', 'offline']","['iya', 'diksih', 'semenjak', 'masuk', 'sekolah', 'offline']","['iya', 'diksih', 'semenjak', 'masuk', 'sekolah', 'offline']",iya diksih semenjak masuk sekolah offline
akunikutGA,2021-10-25 06:17:07,"@jaemcityx Bismillah bisa di gedor makji juga hehe, lagi ngumpulin duit nih makji buat bayar utang mama😁 sama lagi nungguin kalo ada rejeki tambahan mau beli novel dan peralatan sekolah adek yg udh offline",1,bismillah bisa di gedor makji juga hehe lagi ngumpulin duit nih makji buat bayar utang mama sama lagi nungguin kalo ada rejeki tambahan mau beli novel dan peralatan sekolah adek yg udh offline,bismillah bisa di gedor makji juga hehe lagi ngumpulin duit nih makji buat bayar utang mama sama lagi nungguin kalo ada rejeki tambahan mau beli novel dan peralatan sekolah adek yg udh offline,bismillah bisa di gedor makji juga hehe lagi mengumpulkan duit nih makji buat bayar utang mama sama lagi menunggu kalau ada rejeki tambahan mau beli novel dan peralatan sekolah adik yang sudah offline,"['bismillah', 'bisa', 'di', 'gedor', 'makji', 'juga', 'hehe', 'lagi', 'mengumpulkan', 'duit', 'nih', 'makji', 'buat', 'bayar', 'utang', 'mama', 'sama', 'lagi', 'menunggu', 'kalau', 'ada', 'rejeki', 'tambahan', 'mau', 'beli', 'novel', 'dan', 'peralatan', 'sekolah', 'adik', 'yang', 'sudah', 'offline']","['bismillah', 'gedor', 'makji', 'mengumpulkan', 'duit', 'makji', 'bayar', 'utang', 'mama', 'menunggu', 'rejeki', 'tambahan', 'beli', 'novel', 'peralatan', 'sekolah', 'adik', 'offline']","['bismillah', 'gedor', 'makji', 'mengumpulkan', 'duit', 'makji', 'bayar', 'utang', 'mama', 'menunggu', 'rezeki', 'tambahan', 'beli', 'novel', 'peralatan', 'sekolah', 'adik', 'offline']","['bismillah', 'gedor', 'makji', 'kumpul', 'duit', 'makji', 'bayar', 'utang', 'mama', 'tunggu', 'rezeki', 'tambah', 'beli', 'novel', 'alat', 'sekolah', 'adik', 'offline']",bismillah gedor makji kumpul duit makji bayar utang mama tunggu rezeki tambah beli novel alat sekolah adik offline
xyosh_1,2021-10-25 06:10:12,@lovelyshi__ Jangankan kantin sekolah:) sekolah offline aja belum dibuka,0,jangankan kantin sekolah sekolah offline aja belum dibuka,jangankan kantin sekolah sekolah offline aja belum dibuka,jangankan kantin sekolah sekolah offline saja belum dibuka,"['jangankan', 'kantin', 'sekolah', 'sekolah', 'offline', 'saja', 'belum', 'dibuka']","['kantin', 'sekolah', 'sekolah', 'offline', 'dibuka']","['kantin', 'sekolah', 'sekolah', 'offline', 'dibuka']","['kantin', 'sekolah', 'sekolah', 'offline', 'buka']",kantin sekolah sekolah offline buka
dubucityx,2021-10-25 06:03:56,"– today's mail!
kali ini today's mail nya bukan pc tapi hand sanitizer renjun buat sekolah offline anjay😍😍lucu banget pas datengnya+safe packing and another yupi for freebies🤗🤗 https://t.co/dMPLgCHkYB",0,todays mail kali ini todays mail nya bukan pc tapi hand sanitizer renjun buat sekolah offline anjaylucu banget pas datengnyasafe packing and another yupi for freebies,todays mail kali ini todays mail nya bukan pc tapi hand sanitizer renjun buat sekolah offline anjaylucu banget pas datengnyasafe packing and another yupi for freebies,todays mail kali ini todays mail nya bukan pc tapi hand sanitizer renjun buat sekolah offline anjaylucu banget pas datengnyasafe packing and another yupi for freebies,"['todays', 'mail', 'kali', 'ini', 'todays', 'mail', 'nya', 'bukan', 'pc', 'tapi', 'hand', 'sanitizer', 'renjun', 'buat', 'sekolah', 'offline', 'anjaylucu', 'banget', 'pas', 'datengnyasafe', 'packing', 'and', 'another', 'yupi', 'for', 'freebies']","['todays', 'mail', 'kali', 'todays', 'mail', 'pc', 'hand', 'sanitizer', 'renjun', 'sekolah', 'offline', 'anjaylucu', 'banget', 'pas', 'datengnyasafe', 'packing', 'and', 'another', 'yupi', 'for', 'freebies']","['todays', 'mail', 'kali', 'todays', 'mail', 'pc', 'hand', 'sanitizer', 'renjun', 'sekolah', 'offline', 'anjaylucu', 'banget', 'pas', 'datengnyasafe', 'packing', 'and', 'another', 'yupi', 'for', 'freebies']","['todays', 'mail', 'kali', 'todays', 'mail', 'pc', 'hand', 'sanitizer', 'renjun', 'sekolah', 'offline', 'anjaylucu', 'banget', 'pas', 'datengnyasafe', 'packing', 'and', 'another', 'yupi', 'for', 'freebies']",todays mail kali todays mail pc hand sanitizer renjun sekolah offline anjaylucu banget pas datengnyasafe packing and another yupi for freebies
coklatpocky,2021-10-25 06:03:36,@tinfrtn sekolah offline tp terbatas,1,sekolah offline tp terbatas,sekolah offline tp terbatas,sekolah offline tetapi terbatas,"['sekolah', 'offline', 'tetapi', 'terbatas']","['sekolah', 'offline', 'terbatas']","['sekolah', 'offline', 'terbatas']","['sekolah', 'offline', 'batas']",sekolah offline batas
ybchan_i,2021-10-25 06:01:28,@chanwonseong Sibuk diriku chil sekarang udh banyak sekolah offline jadi harus visit ke sekolah langsung..tetep on kok cuma ya kadang malam hehehe,1,sibuk diriku chil sekarang udh banyak sekolah offline jadi harus visit ke sekolah langsungtetep on kok cuma ya kadang malam hehehe,sibuk diriku chil sekarang udh banyak sekolah offline jadi harus visit ke sekolah langsungtetep on kok cuma ya kadang malam hehehe,sibuk diriku chil sekarang sudah banyak sekolah offline jadi harus mengunjungi ke sekolah langsungtetep on kok cuma ya kadang malam hehe,"['sibuk', 'diriku', 'chil', 'sekarang', 'sudah', 'banyak', 'sekolah', 'offline', 'jadi', 'harus', 'mengunjungi', 'ke', 'sekolah', 'langsungtetep', 'on', 'kok', 'cuma', 'ya', 'kadang', 'malam', 'hehe']","['sibuk', 'diriku', 'chil', 'sekolah', 'offline', 'mengunjungi', 'sekolah', 'langsungtetep', 'on', 'kadang', 'malam']","['sibuk', 'diriku', 'chil', 'sekolah', 'offline', 'mengunjungi', 'sekolah', 'langsungtetep', 'on', 'kadang', 'malam']","['sibuk', 'diri', 'chil', 'sekolah', 'offline', 'unjung', 'sekolah', 'langsungtetep', 'on', 'kadang', 'malam']",sibuk diri chil sekolah offline unjung sekolah langsungtetep on kadang malam
buluketeknyjeno,2021-10-25 05:59:14,@jaemcityx iya mak mana sekolah offline 😭,-1,iya mak mana sekolah offline,iya mak mana sekolah offline,iya mak mana sekolah offline,"['iya', 'mak', 'mana', 'sekolah', 'offline']","['iya', 'mak', 'sekolah', 'offline']","['iya', 'ibu', 'sekolah', 'offline']","['iya', 'ibu', 'sekolah', 'offline']",iya ibu sekolah offline
ChannChan_,2021-10-25 05:56:21,"Pengen sekolah offline yg full gitu deh 
T^T",1,pengen sekolah offline yg full gitu deh tt,pengen sekolah offline yg full gitu deh tt,ingin sekolah offline yang full begitu deh tt,"['ingin', 'sekolah', 'offline', 'yang', 'full', 'begitu', 'deh', 'tt']","['sekolah', 'offline', 'full', 'deh', 'tt']","['sekolah', 'offline', 'full', 'deh', 'tt']","['sekolah', 'offline', 'full', 'deh', 'tt']",sekolah offline full deh tt
novalianaaja,2021-10-25 05:52:02,"@dewapuci @PAClearning Kantor + sekolah ud mulai msk offline, pusiang Bu.
Semoga gak kejadian",-1,kantor sekolah ud mulai msk offline pusiang bu semoga gak kejadian,kantor sekolah ud mulai msk offline pusiang bu semoga gak kejadian,kantor sekolah sudah mulai masuk offline pusiang bu semoga tidak kejadian,"['kantor', 'sekolah', 'sudah', 'mulai', 'masuk', 'offline', 'pusiang', 'bu', 'semoga', 'tidak', 'kejadian']","['kantor', 'sekolah', 'masuk', 'offline', 'pusiang', 'bu', 'semoga', 'kejadian']","['kantor', 'sekolah', 'masuk', 'offline', 'pusiang', 'bu', 'semoga', 'kejadian']","['kantor', 'sekolah', 'masuk', 'offline', 'pusiang', 'bu', 'moga', 'jadi']",kantor sekolah masuk offline pusiang bu moga jadi
